timestamp,asset,current_close,predicted_close,actual_close,predicted_direction,actual_direction,probability,tech_signal,correct,running_bankroll
2026-07-06 23:59:00+00:00,ETH,1799.56,1799.8858642578125,1799.46,UP,DOWN,0.5145,NEUTRAL,False,61.7
2026-07-07 00:04:00+00:00,ETH,1799.46,1800.1207275390625,1799.74,UP,UP,0.5293,NEUTRAL,True,63.51
2026-07-07 00:09:00+00:00,ETH,1799.74,1802.0355224609375,1797.88,UP,DOWN,0.5999,NEUTRAL,False,57.16
2026-07-07 00:14:00+00:00,ETH,1797.88,1800.5394287109375,1800.25,UP,UP,0.615,NEUTRAL,True,63.74
2026-07-07 00:19:00+00:00,ETH,1800.25,1800.8311767578125,1805.76,UP,UP,0.5258,NEUTRAL,True,65.38
2026-07-07 00:24:00+00:00,ETH,1805.76,1807.4378662109375,1806.04,UP,UP,0.5735,UP,True,70.18
2026-07-07 00:29:00+00:00,ETH,1806.04,1804.328369140625,1806.42,DOWN,UP,0.5749,UP,False,64.93
2026-07-07 00:34:00+00:00,ETH,1806.42,1806.1392822265625,1799.65,DOWN,DOWN,0.5124,NEUTRAL,True,65.73
2026-07-07 00:39:00+00:00,ETH,1799.65,1801.2982177734375,1801.51,UP,UP,0.5725,DOWN,True,70.5
2026-07-07 00:44:00+00:00,ETH,1801.51,1802.2867431640625,1803.38,UP,UP,0.5344,DOWN,True,72.92
2026-07-07 00:49:00+00:00,ETH,1803.38,1802.9505615234375,1806.15,DOWN,UP,0.519,NEUTRAL,False,71.54
2026-07-07 00:54:00+00:00,ETH,1806.15,1807.0447998046875,1803.74,UP,DOWN,0.5395,UP,False,68.71
2026-07-07 00:59:00+00:00,ETH,1803.74,1803.4443359375,1790.59,DOWN,DOWN,0.5131,NEUTRAL,True,69.61
2026-07-07 01:04:00+00:00,ETH,1790.59,1791.227783203125,1794.37,UP,UP,0.5284,DOWN,True,71.59
2026-07-07 01:09:00+00:00,ETH,1794.37,1793.9080810546875,1795.39,DOWN,UP,0.5206,DOWN,False,70.12
2026-07-07 01:14:00+00:00,ETH,1795.39,1796.3636474609375,1795.36,UP,DOWN,0.5432,NEUTRAL,False,67.09
